Billionaire_ID,Rank,Name,Net Worth,Age,Country,Source,Net_Worth_B,Industry_id
123,1027,Zhang Wenzhong,$2.9 B,61,China,Supermarkets,2.9,1
124,1027,Zhou Jianping,$2.9 B,62,China,Fashion retail,2.9,1
125,1067,Joy Alukkas,$2.8 B,66,India,Jewelry,2.8,1
126,1067,Eleanor Butt Crook & family,$2.8 B,90,United States,Supermarkets,2.8,1
127,1067,"Drayton McLane, Jr.",$2.8 B,86,United States,"Walmart, logistics",2.8,1
128,1067,Benjamin Otto,$2.8 B,65,Germany,Retail,2.8,1
129,1104,Pan Dong,$2.7 B,58,Canada,Consumer goods,2.7,1
130,1164,Falguni Nayar,$2.6 B,60,India,Retailing,2.6,1
131,1217,Bill Alfond,$2.5 B,74,United States,Shoes,2.5,1
132,1217,Susan Alfond,$2.5 B,77,United States,Shoes,2.5,1
133,1217,Ted Alfond,$2.5 B,78,United States,Shoes,2.5,1
134,1217,Bill Haslam,$2.5 B,64,United States,Gas stations,2.5,1
135,1217,Lu Yiwen,$2.5 B,36,China,Jewelry,2.5,1
136,1217,Roger Wang,$2.5 B,74,United States,Retail,2.5,1
137,1217,Ye Guofu,$2.5 B,45,China,Retail,2.5,1
138,1272,Chen Tei-fu,$2.4 B,74,Taiwan,Herbal products,2.4,1
139,1272,Abilio dos Santos Diniz,$2.4 B,86,Brazil,Retail,2.4,1
140,1272,Doris Fisher,$2.4 B,91,United States,Gap,2.4,1
141,1312,Timothy Boyle,$2.3 B,73,United States,Columbia Sportswear,2.3,1
142,1312,John Fisher,$2.3 B,61,United States,Gap,2.3,1
143,1312,Georg Haub,$2.3 B,61,Germany,Retail,2.3,1
144,1312,Kevin David Lehmann,$2.3 B,20,Germany,Drugstores,2.3,1
145,1312,Mi Enhua,$2.3 B,65,China,Retail,2.3,1
146,1312,David Nahmad,$2.3 B,75,Monaco,Art collection,2.3,1
147,1312,Alberto Prada,$2.3 B,69,Italy,Luxury goods,2.3,1
148,1312,Marina Prada,$2.3 B,77,Italy,Luxury goods,2.3,1
149,1312,Tang Yiu,$2.3 B,89,Hong Kong,Fashion retail,2.3,1
150,1312,Xie Bingkun & family,$2.3 B,56,China,Pearlescent pigments,2.3,1
151,1368,Brett Blundy,$2.2 B,63,Australia,"Retail, agribusiness",2.2,1
152,1368,Tom Ford,$2.2 B,61,United States,Fashion,2.2,1
153,1368,James Jannard,$2.2 B,73,United States,Sunglasses,2.2,1
154,1368,Lai Shixian,$2.2 B,48,China,Sports apparel,2.2,1
155,1368,Solomon Lew,$2.2 B,78,Australia,Retail,2.2,1
156,1368,"Karl Scheufele, III. & family",$2.2 B,84,Switzerland,Jewelry,2.2,1
157,1368,Lottie Tham & family,$2.2 B,73,Sweden,H&M,2.2,1
158,1368,Wang Wenmo,$2.2 B,66,China,Sports apparel,2.2,1
159,1434,Domenico Dolce,$2.1 B,64,Italy,Luxury goods,2.1,1
160,1434,Stefano Gabbana,$2.1 B,60,Italy,Luxury goods,2.1,1
161,1434,Stein Erik Hagen,$2.1 B,66,Norway,Consumer goods,2.1,1
162,1434,Hortensia Herrero,$2.1 B,72,Spain,Supermarkets,2.1,1
163,1434,Artem Khachatryan,$2.1 B,48,Russia,Retail,2.1,1
164,1434,Sergey Lomakin,$2.1 B,49,Russia,Retail,2.1,1
165,1434,Rafique Malik,$2.1 B,72,India,Footwear,2.1,1
166,1434,Richard Saghian,$2.1 B,41,United States,Fast fashion,2.1,1
167,1434,Edward Stack,$2.1 B,68,United States,Dick's Sporting Goods,2.1,1
168,1434,Torsten Toeller,$2.1 B,56,Germany,Pet food,2.1,1
169,1434,Michael Ying,$2.1 B,73,Hong Kong,Retail,2.1,1
170,1516,Mohamed Al Fayed,$2 B,94,Egypt,"Retail, investments",2.0,1
171,1516,Sylvia Stroeher,$2 B,67,Germany,Cosmetics,2.0,1
172,1516,Ales Zavoral,$2 B,46,Czech Republic,E-commerce,2.0,1
173,1575,Nicola Bulgari,$1.9 B,82,Italy,Luxury goods,1.9,1
174,1575,"Howard Butt, III. & family",$1.9 B,71,United States,Supermarkets,1.9,1
175,1575,Stephen Butt & family,$1.9 B,67,United States,Supermarkets,1.9,1
176,1575,Jianxing Che,$1.9 B,56,China,Furniture retailing,1.9,1
177,1575,Guo Zhenyu & family,$1.9 B,59,Canada,Cosmetics,1.9,1
178,1575,Robert Miller,$1.9 B,89,United Kingdom,Retail,1.9,1
179,1575,G. Rajendran,$1.9 B,80,India,Jewellery,1.9,1
180,1575,Masateru Uno & family,$1.9 B,76,Japan,Drugstores,1.9,1
181,1575,Wang Ren-sheng,$1.9 B,91,Taiwan,Retail,1.9,1
182,1647,Will Adderley,$1.8 B,51,United Kingdom,Home furnishings,1.8,1
183,1647,Sabrina Benetton,$1.8 B,49,Italy,"Fashion retail, investments",1.8,1
184,1647,Suh Kyung-bae,$1.8 B,60,South Korea,Cosmetics,1.8,1
185,1647,Yoshiaki Yoshida,$1.8 B,82,Japan,cosmetics,1.8,1
186,1725,Alexandre Grendene Bartelle,$1.7 B,73,Brazil,Shoes,1.7,1
187,1725,Gerry Harvey,$1.7 B,83,Australia,Retail,1.7,1
188,1725,Kim Chang-soo,$1.7 B,62,South Korea,Apparel,1.7,1
189,1725,Mustafa Kucuk,$1.7 B,59,Turkey,Fashion retail,1.7,1
190,1725,Ilson Mateus & family,$1.7 B,60,Brazil,Supermarkets,1.7,1
191,1725,Alberto Palatchi,$1.7 B,73,Spain,Wedding dresses,1.7,1
192,1725,Dragos Paval,$1.7 B,56,Romania,Retail,1.7,1
193,1725,Sun Huaiqing & family,$1.7 B,53,China,Cosmetics,1.7,1
194,1804,Alex Birkenstock,$1.6 B,54,Germany,Shoes,1.6,1
195,1804,Christian Birkenstock,$1.6 B,50,Germany,Shoes,1.6,1
196,1804,Richard Fortin,$1.6 B,74,Canada,Convinience stores,1.6,1
197,1804,Sergei Katsiev,$1.6 B,65,Russia,"Retail, wholesale",1.6,1
198,1804,Alan Wilson,$1.6 B,82,Australia,Retailing,1.6,1
199,1804,Bruce Wilson,$1.6 B,76,Australia,Retailing,1.6,1
200,1804,John Wilson,$1.6 B,85,Australia,Retailing,1.6,1
201,1905,Barbara Benetton,$1.5 B,53,Italy,"Fashion retail, investments",1.5,1
202,1905,Paolo Bulgari,$1.5 B,85,Italy,Luxury goods,1.5,1
203,1905,Philippe Ginestet & family,$1.5 B,69,France,Retail stores,1.5,1
204,1905,Esther Grether,$1.5 B,87,Switzerland,Art collection,1.5,1
205,1905,Sidney Kimmel,$1.5 B,95,United States,Retail,1.5,1
206,1905,Li Rucheng,$1.5 B,71,China,Apparel,1.5,1
207,1905,Mario Moretti Polegato & family,$1.5 B,70,Italy,Shoes,1.5,1
208,1905,Karl-Johan Persson,$1.5 B,48,Sweden,H&M,1.5,1
209,1905,Ron Sim,$1.5 B,64,Singapore,retail,1.5,1
210,1905,Sergei Studennikov & family,$1.5 B,56,Russia,"Liquor stores, supermarkets",1.5,1
211,1905,Yuequn Tao,$1.5 B,63,China,Contact Lens,1.5,1
212,1905,Zhou Zongwen & family,$1.5 B,66,China,Jewelry,1.5,1
213,2020,Nigel Austin,$1.4 B,52,Australia,Retail,1.4,1
214,2020,Reinold Geiger,$1.4 B,75,Austria,Beauty products,1.4,1
215,2020,Christoph Henkel,$1.4 B,65,Germany,Consumer goods,1.4,1
216,2020,Daniel Hirschfeld,$1.4 B,81,United States,Fashion retail,1.4,1
217,2020,Bernard Lewis & family,$1.4 B,97,United Kingdom,Fashion retailer,1.4,1
218,2020,Tom Persson,$1.4 B,38,Sweden,H&M,1.4,1
219,2020,Rihanna,$1.4 B,35,Barbados,"Music, cosmetics",1.4,1
220,2020,Nobutoshi Shimamura,$1.4 B,97,Japan,Retail,1.4,1
221,2020,Charlotte Soderstrom,$1.4 B,46,Sweden,H&M,1.4,1
222,2020,Zhou Chengjian,$1.4 B,57,China,Fashion retail,1.4,1
223,2133,Sachin Bansal,$1.3 B,41,India,Flipkart,1.3,1
224,2133,Gary Lauder,$1.3 B,60,United States,Estée Lauder,1.3,1
225,2133,Charlwin Mao,$1.3 B,65,China,E-commerce,1.3,1
226,2133,Qu Miranda,$1.3 B,38,China,E-commerce,1.3,1
227,2133,Fernando Roig,$1.3 B,75,Spain,Supermarkets,1.3,1
228,2133,Wang Jianguo,$1.3 B,63,China,Retail,1.3,1
229,2133,Myron Wentz,$1.3 B,83,St. Kitts and Nevis,Health products,1.3,1
230,2259,Chung Yong-jin,$1.2 B,54,South Korea,Retail,1.2,1
231,2259,Diego Della Valle,$1.2 B,69,Italy,Shoes,1.2,1
232,2259,Ding Shui Po,$1.2 B,52,China,"Sneakers, sportswear",1.2,1
233,2259,Sefik Yilmaz Dizdar,$1.2 B,85,Turkey,Fashion retail,1.2,1
234,2259,Ben Francis,$1.2 B,30,United Kingdom,Fitness clothing,1.2,1
235,2259,Gary Friedman,$1.2 B,65,United States,Furniture retail,1.2,1
236,2259,Richard Hayne,$1.2 B,75,United States,Urban Outfitters,1.2,1
237,2259,Huang Guanlin,$1.2 B,58,China,"Textiles, apparel",1.2,1
238,2259,Kim Kardashian,$1.2 B,42,United States,"Shapewear, cosmetics, reality TV",1.2,1
239,2259,Antonio Luiz Seabra,$1.2 B,80,Brazil,Cosmetics,1.2,1
240,2259,Sandro Veronesi & family,$1.2 B,63,Italy,Fashion,1.2,1
241,2259,Wu Yonghua,$1.2 B,52,China,Apparel,1.2,1
242,2259,Yang Yunyun,$1.2 B,46,China,Retail,1.2,1
243,2405,Hari Krishan Agarwal,$1.1 B,66,India,Sports shoes,1.1,1
244,2405,Sara Blakely,$1.1 B,52,United States,Spanx,1.1,1
245,2405,Thomas Bruch,$1.1 B,72,Germany,Retail,1.1,1
246,2405,Paul Fireman,$1.1 B,79,United States,Reebok,1.1,1
247,2405,Robert Fisher,$1.1 B,69,United States,Gap,1.1,1
248,2405,Bernd Freier,$1.1 B,66,Germany,Fashion retail,1.1,1
249,2405,Rahul Gautam,$1.1 B,70,India,Mattresses,1.1,1
250,2405,Cristina Green,$1.1 B,65,United Kingdom,Fashion retail,1.1,1
251,2405,Philip Green,$1.1 B,65,United Kingdom,Fashion retail,1.1,1
252,2405,Lyu Yixiong,$1.1 B,60,China,Cosmetics,1.1,1
253,2405,Adrian Paval,$1.1 B,54,Romania,Retail,1.1,1
254,2405,Kevin Plank,$1.1 B,50,United States,Under Armour,1.1,1
255,2405,Tan Yu Yeh,$1.1 B,52,Malaysia,Retail,1.1,1
256,2405,Horst Wortmann,$1.1 B,81,Germany,Footwear,1.1,1
257,2405,Zhang Xuansong,$1.1 B,51,China,Supermarkets,1.1,1
258,2540,Ryuji Arai,$1 B,76,Japan,Retail,1.0,1
259,2540,William Fisher,$1 B,66,United States,Gap,1.0,1
260,2540,Hong Seok-joh,$1 B,70,South Korea,Convenience stores,1.0,1
261,2540,Johan Johannson,$1 B,56,Norway,Grocery stores,1.0,1
262,2540,Kim Jung-woong,$1 B,48,South Korea,Cosmetics,1.0,1
263,2540,Liu Baolin,$1 B,69,China,Pharmacies,1.0,1
264,2540,Réal Plourde,$1 B,65,Canada,Convenience stores,1.0,1
265,2540,Xie Bingzheng & family,$1 B,54,China,Apparel,1.0,1
266,2,Elon Musk,$180 B,51,United States,"Tesla, SpaceX",180.0,2
267,38,Robin Zeng,$33.4 B,54,Hong Kong,Batteries,33.4,2
268,51,Susanne Klatten,$27.4 B,60,Germany,"BMW, pharmaceuticals",27.4,2
269,59,Stefan Quandt,$24.6 B,56,Germany,BMW,24.6,2
270,84,Eric Li,$19 B,59,China,Automobiles,19.0,2
271,88,Wang Chuanfu,$18.7 B,57,China,"Batteries, automobiles",18.7,2
272,115,Huang Shilin,$15.2 B,56,China,Batteries,15.2,2
273,121,Wei Jianjun & family,$14.5 B,59,China,Automobiles,14.5,2
274,136,Lu Xiangyang,$13.2 B,60,China,"Automobiles, batteries",13.2,2
275,144,Shahid Khan,$12.1 B,72,United States,Auto parts,12.1,2
276,171,Georg Schaeffler,$10.2 B,58,Germany,Auto parts,10.2,2
277,365,Li Ping,$6.7 B,55,Hong Kong,Batteries,6.7,2
278,455,Vikram Lal & family,$5.6 B,81,India,Motorcycles,5.6,2
279,455,Wu Jianshu,$5.6 B,59,Hong Kong,Auto parts,5.6,2
280,466,Piero Ferrari,$5.5 B,77,Italy,Automobiles,5.5,2
281,466,Dan Friedkin,$5.5 B,58,United States,Toyota dealerships,5.5,2
282,552,Mark Shoen,$4.9 B,72,United States,U-Haul,4.9,2
283,659,E. Joe Shoen,$4.2 B,73,United States,U-Haul,4.2,2
284,699,Gail Miller,$4 B,79,United States,Car dealerships,4.0,2
285,721,Mong-Koo Chung,$3.9 B,85,South Korea,Hyundai,3.9,2
286,748,Li Xiang,$3.8 B,41,China,Electric vehicles,3.8,2
287,787,Nicolas D'Ieteren,$3.6 B,47,Belgium,"Auto parts, distribution",3.6,2
288,787,Huang Yi,$3.6 B,61,Hong Kong,Car dealerships,3.6,2
289,787,Xia Zuoquan,$3.6 B,61,China,"Automobiles, batteries",3.6,2
290,818,Vivek Chaand Sehgal,$3.5 B,66,Australia,Auto parts,3.5,2
291,878,Walter Frey,$3.3 B,79,Switzerland,Car dealerships,3.3,2
292,905,Dong Jinggui,$3.2 B,53,China,Electric scooters,3.2,2
293,905,Roger Penske,$3.2 B,86,United States,Cars,3.2,2
294,982,Norman Braman,$3 B,90,United States,"Art, car dealerships",3.0,2
295,982,Catheline Perier D'Ieteren,$3 B,78,Belgium,"Auto parts, distribution",3.0,2
296,982,"Ernest Garcia, II.",$3 B,65,United States,Used cars,3.0,2
297,1027,Alberto Bombassei,$2.9 B,82,Italy,Automotive brakes,2.9,2
298,1027,Arvind Poddar,$2.9 B,65,India,Tires,2.9,2
299,1067,Euisun Chung,$2.8 B,52,South Korea,Hyundai,2.8,2
300,1104,Abhay Firodia,$2.7 B,78,India,Automobiles,2.7,2
301,1164,Li Guoqiang,$2.6 B,59,China,Auto dealerships,2.6,2
302,1164,Maria-Elisabeth Schaeffler-Thumann,$2.6 B,81,Germany,Auto parts,2.6,2
303,1217,Herb Chambers,$2.5 B,81,United States,Car dealerships,2.5,2
304,1217,Baba Kalyani,$2.5 B,74,India,Engineering,2.5,2
305,1217,Lachhman Das Mittal,$2.5 B,92,India,Tractors,2.5,2
306,1217,Peter Unger,$2.5 B,78,Germany,Auto repair,2.5,2
307,1272,Abdulla Al Futtaim & family,$2.4 B,83,United Arab Emirates,"Auto dealers, investments",2.4,2
308,1368,Shmuel Harlap,$2.2 B,78,Israel,Automotive,2.2,2
309,1368,Willis Johnson,$2.2 B,75,United States,Damaged cars,2.2,2
310,1434,Nirmal Minda,$2.1 B,65,India,Auto parts,2.1,2
311,1434,Venu Srinivasan,$2.1 B,70,India,Two-wheelers,2.1,2
312,1434,Xu Xudong & family,$2.1 B,53,China,Auto parts,2.1,2
313,1575,Fritz Draexlmaier,$1.9 B,65,Germany,Auto parts,1.9,2
314,1647,Yintai Jiang & family,$1.8 B,72,China,Auto parts,1.8,2
315,1725,Francois Feuillet & family,$1.7 B,74,France,"Motorhomes, RVs",1.7,2
316,1804,Stefan Pierer,$1.6 B,66,Austria,Automotive,1.6,2
317,1804,Ye Fan & family,$1.6 B,52,China,Auto dealerships,1.6,2
318,1905,Lu Zhongfang,$1.5 B,80,China,Education,1.5,2
319,1905,Amnon Shashua,$1.5 B,62,Israel,Automotive technology,1.5,2
320,1905,Tran Ba Duong & family,$1.5 B,63,Vietnam,Automotive,1.5,2
321,2020,He Xiaopeng,$1.4 B,45,China,Electric vehicles,1.4,2
322,2020,William Li,$1.4 B,48,China,Electric vehicles,1.4,2
323,2020,Qian Jinghong,$1.4 B,50,China,Electric scooters,1.4,2
324,2133,A. Jayson Adair,$1.3 B,53,United States,Damaged cars,1.3,2
325,2133,Ziv Aviram,$1.3 B,64,Israel,Automotive technology,1.3,2
326,2133,Chin Jong Hwa,$1.3 B,64,Taiwan,Auto parts,1.3,2
327,2259,Suresh Krishna,$1.2 B,86,India,Auto parts,1.2,2
328,2259,Ulrich Mommert & family,$1.2 B,82,Austria,Lighting,1.2,2
329,2259,Alexander Sixt,$1.2 B,43,Germany,Car rentals,1.2,2
330,2259,Konstantin Sixt,$1.2 B,40,Germany,Car rentals,1.2,2
331,2405,Hiroshi Ishibashi,$1.1 B,76,Japan,Tires,1.1,2
332,2405,Sunjay Kapur,$1.1 B,51,United States,Auto parts,1.1,2
333,2405,Pawan Munjal,$1.1 B,68,India,Two wheelers,1.1,2
334,2405,Renu Munjal,$1.1 B,68,India,Two wheelers,1.1,2
335,2405,Suman Munjal,$1.1 B,70,India,Motorcycles,1.1,2
336,2405,Sjamsul Nursalim,$1.1 B,81,Indonesia,"Tires, retail",1.1,2
337,2405,Tang Aoqi & family,$1.1 B,77,China,Auto parts,1.1,2
338,2540,Wang Jianfeng & family,$1 B,53,China,Auto parts,1.0,2
339,3,Jeff Bezos,$114 B,59,United States,Amazon,114.0,3
340,4,Larry Ellison,$107 B,78,United States,Oracle,107.0,3
341,6,Bill Gates,$104 B,67,United States,Microsoft,104.0,3
342,10,Steve Ballmer,$80.7 B,67,United States,Microsoft,80.7,3
343,12,Larry Page,$79.2 B,50,United States,Google,79.2,3
344,14,Sergey Brin,$76 B,49,United States,Google,76.0,3
345,16,Mark Zuckerberg,$64.4 B,38,United States,Facebook,64.4,3
346,23,Michael Dell,$50.1 B,58,United States,Dell Technologies,50.1,3
347,26,Zhang Yiming,$45 B,39,China,TikTok,45.0,3
348,34,Ma Huateng,$35.3 B,51,China,Internet media,35.3,3
349,45,Colin Huang,$30.2 B,43,China,E-commerce,30.2,3
350,53,William Ding,$26.7 B,51,China,Online games,26.7,3
351,55,Shiv Nadar,$25.6 B,77,India,software services,25.6,3
352,60,MacKenzie Scott,$24.4 B,52,United States,Amazon,24.4,3
353,63,Jack Ma,$23.5 B,58,China,E-commerce,23.5,3
354,76,Jensen Huang,$21.1 B,60,United States,Semiconductors,21.1,3
355,104,Eric Schmidt,$16.2 B,67,United States,Google,16.2,3
356,113,Robert Pera,$15.5 B,45,United States,Wireless networking,15.5,3
