"Rank","Name","Net Worth","Age","Country | Territory","Source","Industry"
"2020","Steve Case","$1.4 B","64","United States","AOL","Technology"
"2020","Chen Wenyuan & family","$1.4 B","55","China","Testing equipment","Technology"
"2020","Chua Thian Poh","$1.4 B","74","Singapore","Real estate","Real Estate"
"2020","Sasson Dayan & family","$1.4 B","83","Brazil","Banking","Finance & Investments"
"2020","Chris Ellison","$1.4 B","65","Australia","Mining","Metals & Mining"
"2020","John Farber","$1.4 B","97","United States","Chemicals","Manufacturing"
"2020","J. Christopher Flowers","$1.4 B","65","United States","Investments","Finance & Investments"
"2020","Reinold Geiger","$1.4 B","75","Austria","Beauty products","Fashion & Retail"
"2020","Ali Ghodsi","$1.4 B","44","Sweden","Data analytics","Technology"
"2020","Lance Gokongwei","$1.4 B","55","Philippines","Diversified","Diversified"
"2020","Guan Yihong","$1.4 B","53","China","Restaurant","Food & Beverage"
"2020","Rajinder Gupta","$1.4 B","64","India","Textiles, paper","Manufacturing"
"2020","Torstein Hagen","$1.4 B","80","Norway","Cruises","Service"
"2020","Ayman Hariri","$1.4 B","44","Lebanon","Construction, investments","Construction & Engineering"
"2020","Alfredo Harp Helu & family","$1.4 B","79","Mexico","Banking, investments","Finance & Investments"
"2020","He Xiaopeng","$1.4 B","45","China","Electric vehicles","Automotive"
"2020","Christoph Henkel","$1.4 B","65","Germany","Consumer goods","Fashion & Retail"
"2020","Daniel Hirschfeld","$1.4 B","81","United States","Fashion retail","Fashion & Retail"
"2020","Drew Houston","$1.4 B","40","United States","Cloud storage service","Technology"
"2020","Huang Jinxiang & family","$1.4 B","58","China","Chemicals","Manufacturing"
"2020","Rameshchandra Jain","$1.4 B","74","India","Textiles","Manufacturing"
"2020","Ke Zunhong & family","$1.4 B","68","China","Pharmaceuticals","Healthcare"
"2020","Kim Taek-jin","$1.4 B","56","South Korea","Online games","Media & Entertainment"
"2020","Koh Wee Meng","$1.4 B","59","Singapore","Real estate, hotels","Real Estate"
"2020","Sergei Kolesnikov","$1.4 B","51","Russia","Building materials","Manufacturing"
"2020","Hemendra Kothari","$1.4 B","76","India","Financial services","Finance & Investments"
"2020","Sebastian Kulczyk","$1.4 B","42","Poland","Diversified","Finance & Investments"
"2020","Kwee Liong Keng","$1.4 B","77","Singapore","Real estate","Real Estate"
"2020","Kwee Liong Phing","$1.4 B","65","Singapore","Real estate","Real Estate"
"2020","Kwee Liong Seen","$1.4 B","70","Singapore","Real estate","Real Estate"
"2020","Kwee Liong Tek","$1.4 B","76","Singapore","Real estate","Real Estate"
"2020","Kwek Leng Keow","$1.4 B","71","Singapore","Diversified","Diversified"
"2020","Kwek Leng Peck","$1.4 B","67","Singapore","Diversified","Diversified"
"2020","Raymond Kwok","$1.4 B","69","Hong Kong","Real estate","Real Estate"
"2020","Lee Ho-jin","$1.4 B","60","South Korea","Diversified","Diversified"
"2020","Michael Lee-Chin","$1.4 B","72","Canada","Mutual funds","Finance & Investments"
"2020","Manfredi Lefebvre d'Ovidio & family","$1.4 B","69","Italy","Cruises","Service"
"2020","Bernard Lewis & family","$1.4 B","97","United Kingdom","Fashion retailer","Fashion & Retail"
"2020","Li Jinyang","$1.4 B","N/A","China","Mining","Metals & Mining"
"2020","William Li","$1.4 B","48","China","Electric vehicles","Automotive"
"2020","Jenny Lindén Urnes","$1.4 B","52","Sweden","Powdered metal","Manufacturing"
"2020","Liu Fangyi","$1.4 B","53","China","Medical equipment","Healthcare"
"2020","K.C. Liu","$1.4 B","69","Taiwan","Manufacturing","Technology"
"2020","Liu Ming Chung","$1.4 B","60","Brazil","Paper","Manufacturing"
"2020","Anatoly Lomakin","$1.4 B","70","Russia","Investments","Metals & Mining"
"2020","Brandt Louie","$1.4 B","79","Canada","Drugstores","Food & Beverage"
"2020","Lucia Maggi & family","$1.4 B","90","Brazil","Agribusiness","Diversified"
"2020","Gary Magness","$1.4 B","69","United States","Cable TV, investments","Media & Entertainment"
"2020","Mao Lixiang & family","$1.4 B","82","China","Cooking appliances","Technology"
"2020","David McMurtry","$1.4 B","82","United Kingdom","Manufacturing","Manufacturing"
"2020","Deepak Mehta","$1.4 B","66","India","Chemicals","Manufacturing"
"2020","Miao Shouliang","$1.4 B","68","China","Real estate","Real Estate"
"2020","Miao Yongjun","$1.4 B","55","China","Clinical diagnostics","Healthcare"
"2020","Yoshiko Mori","$1.4 B","82","Japan","Real estate","Real Estate"
"2020","Marius Nacht","$1.4 B","57","Israel","Software","Technology"
"2020","Tadako Nakatani","$1.4 B","N/A","Japan","Medical diagnostic equipment","Healthcare"
"2020","Vadim Novinsky","$1.4 B","59","Ukraine","Steel","Metals & Mining"
"2020","Niti Osathanugrah","$1.4 B","49","Thailand","Energy drinks,investments","Finance & Investments"
"2020","Gretel Packer","$1.4 B","57","Australia","Investments","Finance & Investments"
"2020","Pan Longquan","$1.4 B","58","China","Manufacturing","Manufacturing"
"2020","Pan Shiyi","$1.4 B","60","China","Real estate","Real Estate"
"2020","David Paul","$1.4 B","56","United States","Medical devices","Healthcare"
"2020","Tom Persson","$1.4 B","38","Sweden","H&M","Fashion & Retail"
"2020","Qian Jinghong","$1.4 B","50","China","Electric scooters","Automotive"
"2020","Qin Long","$1.4 B","57","China","Tire","Manufacturing"
"2020","M.Satyanarayana Reddy","$1.4 B","65","India","Pharmaceuticals","Healthcare"
"2020","Mochtar Riady & family","$1.4 B","93","Indonesia","Diversified","Diversified"
"2020","Rihanna","$1.4 B","35","Barbados","Music, cosmetics","Fashion & Retail"
"2020","Boris Rotenberg","$1.4 B","66","Russia","Construction, pipes, chemicals","Construction & Engineering"
"2020","Subhash Runwal","$1.4 B","79","India","Real estate","Real Estate"
"2020","Igor Rybakov","$1.4 B","50","Russia","Building materials","Manufacturing"
"2020","Carlos Sanchez","$1.4 B","61","Brazil","Generic drugs","Healthcare"
"2020","Martin Selig","$1.4 B","85","United States","Real estate","Real Estate"
"2020","Airat Shaimiev","$1.4 B","61","Russia","Refinery, chemicals","Energy"
"2020","Radik Shaimiev","$1.4 B","58","Russia","Refinery, chemicals","Energy"
"2020","Nobutoshi Shimamura","$1.4 B","97","Japan","Retail","Fashion & Retail"
"2020","Jared Smith","$1.4 B","48","United States","Cloud computing","Technology"
"2020","Charlotte Soderstrom","$1.4 B","46","Sweden","H&M","Fashion & Retail"
"2020","Anand Surana","$1.4 B","52","India","Pharmaceuticals","Healthcare"
"2020","Dilip Surana","$1.4 B","57","India","Pharmaceuticals","Healthcare"
"2020","Wilma Tisch","$1.4 B","95","United States","Diversified","Finance & Investments"
"2020","Jianyi Wang","$1.4 B","60","China","Fiber optic cables","Technology"
"2020","Wang Jilei","$1.4 B","58","China","Logistics","Logistics"
"2020","Shuifu Wang","$1.4 B","68","China","Manufacturing","Manufacturing"
"2020","Wang Yanqing & family","$1.4 B","76","China","Carbon fiber products","Manufacturing"
"2020","Wang Zelong","$1.4 B","26","China","Chemicals","Metals & Mining"
"2020","Werner O. Weber","$1.4 B","84","Switzerland","Electronic components","Manufacturing"
"2020","Anne Werninghaus","$1.4 B","37","Brazil","Industrial machinery","Manufacturing"
"2020","Alfred West, Jr.","$1.4 B","80","United States","Money management","Finance & Investments"
"2020","Bo Wu","$1.4 B","68","China","Machinery","Manufacturing"
"2020","Wu Chaoqun","$1.4 B","53","China","Chemicals","Manufacturing"
"2020","Swift Xie","$1.4 B","43","China","Drones","Technology"
"2020","Xu Guozhong & family","$1.4 B","59","China","Motors","Manufacturing"
"2020","Yao Kuizhang","$1.4 B","58","China","Beverages","Food & Beverage"
"2020","Yu Peidi","$1.4 B","63","Hong Kong","Real estate","Real Estate"
"2020","Yuan Liping","$1.4 B","52","Canada","Pharmaceuticals","Healthcare"
"2020","Zhang Chuanwei & family","$1.4 B","60","China","Machinery","Manufacturing"
"2020","Zhang Keqiang","$1.4 B","62","China","Real estate","Real Estate"
"2020","Zhang Xin","$1.4 B","57","China","Real estate","Real Estate"
"2020","Xinghai Zhang & family","$1.4 B","60","China","Machinery","Manufacturing"
"2020","Zheng Jianjiang & family","$1.4 B","62","China","Electrical equipment","Manufacturing"
"2020","Zhong Sheng Jian","$1.4 B","65","Singapore","Real estate","Real Estate"
"2020","Zhou Chengjian","$1.4 B","57","China","Fashion retail","Fashion & Retail"
"2020","Boris Zingarevich","$1.4 B","63","Russia","Pulp and paper, diversified","Diversified"
"2133","A. Jayson Adair","$1.3 B","53","United States","Damaged cars","Automotive"
"2133","Soegiarto Adikoesoemo","$1.3 B","85","Indonesia","Chemicals","Logistics"
"2133","Rajendra Agarwal","$1.3 B","64","India","Pharmaceuticals","Healthcare"
"2133","Chirayu Amin","$1.3 B","76","India","Pharmaceuticals","Healthcare"
"2133","Anant Asavabhokhin","$1.3 B","72","Thailand","Real estate","Real Estate"
"2133","Roman Avdeev","$1.3 B","55","Russia","Banking, development","Finance & Investments"
"2133","Ziv Aviram","$1.3 B","64","Israel","Automotive technology","Automotive"
"2133","Sachin Bansal","$1.3 B","41","India","Flipkart","Fashion & Retail"
"2133","Kiki Barki","$1.3 B","83","Indonesia","Coal","Energy"
"2133","Elena Baturina","$1.3 B","60","Russia","Investments, real estate","Construction & Engineering"
"2133","Banwari Lal Bawri","$1.3 B","70","India","Pharmaceuticals","Healthcare"
"2133","Othman Benjelloun & family","$1.3 B","90","Morocco","Banking, insurance","Finance & Investments"
"2133","Hari Bhartia","$1.3 B","66","India","Diversified","Diversified"
"2133","Shyam Bhartia","$1.3 B","70","India","Pharmaceuticals, food","Healthcare"
"2133","Stewart Butterfield","$1.3 B","50","Canada","Messaging software","Technology"
"2133","Cai Mingtong","$1.3 B","71","China","Electronic components","Technology"
"2133","Anthony Casalena","$1.3 B","40","United States","Software","Technology"
"2133","Chang Jianming & family","$1.3 B","58","China","Industrial equipment","Manufacturing"
"2133","Richard Chang","$1.3 B","76","Taiwan","Real estate, electronics","Real Estate"
"2133","Chen Xuehua","$1.3 B","62","China","Minerals processing","Metals & Mining"
"2133","Chen Yin","$1.3 B","50","China","Power tools","Manufacturing"
"2133","Chin Jong Hwa","$1.3 B","64","Taiwan","Auto parts","Automotive"
"2133","R. Marcelo Claure","$1.3 B","52","United States","Cell phone distribution","Telecom"
"2133","Alberto Cortina","$1.3 B","77","Spain","Investments","Finance & Investments"
"2133","Eduardo Costantini","$1.3 B","76","Argentina","Real estate","Real Estate"
"2133","Wenjun Dai","$1.3 B","54","China","Food","Food & Beverage"
"2133","Anand Deshpande","$1.3 B","60","India","Technology","Technology"
"2133","Aydin Dogan","$1.3 B","86","Turkey","Media","Media & Entertainment"
"2133","Annalisa Doris","$1.3 B","52","Italy","Financial services","Finance & Investments"
"2133","Massimo Doris","$1.3 B","55","Italy","Financial services","Finance & Investments"
"2133","Weimin Du","$1.3 B","59","China","Vaccines","Healthcare"
"2133","Timothy Dunn & family","$1.3 B","67","United States","Energy","Energy"
"2133","Keiko Erikawa","$1.3 B","74","Japan","Video games","Media & Entertainment"
"2133","Yoichi Erikawa","$1.3 B","72","Japan","Video games","Media & Entertainment"
"2133","Philip Fayer","$1.3 B","45","Canada","Online payments","Finance & Investments"
"2133","Marvy Finger","$1.3 B","87","United States","Real estate","Real Estate"
"2133","Simona Giorgetta","$1.3 B","45","Italy","Chemical products","Construction & Engineering"
"2133","Joel Greenberg","$1.3 B","65","United States","Trading, investments","Finance & Investments"
"2133","He Zhiping","$1.3 B","59","China","Investments","Finance & Investments"
"2133","Heikki Herlin","$1.3 B","36","Finland","Elevators, escalators","Manufacturing"
"2133","Hoi Kin Hong","$1.3 B","70","Macau","Real estate","Real Estate"
"2133","Lillyn Teh Li Hua","$1.3 B","N/A","Malaysia","Finance","Finance & Investments"
"2133","Gregg Hymowitz","$1.3 B","57","United States","Asset management","Finance & Investments"
"2133","Mitchell Jacobson","$1.3 B","72","United States","Industrial equipment","Service"
"2133","Anurang Jain","$1.3 B","61","India","Auto parts","Manufacturing"
"2133","Jiang Guiting & family","$1.3 B","64","China","Manufacturing","Manufacturing"
"2133","Jin Xin","$1.3 B","56","China","Manufacturing","Manufacturing"
"2133","Conni Jonsson","$1.3 B","62","Sweden","Asset management","Finance & Investments"
"2133","George Joseph","$1.3 B","101","United States","Insurance","Finance & Investments"
"2133","Laurent Junique","$1.3 B","57","France","Call centers","Technology"
"2133","Zbigniew Juroszek & family","$1.3 B","60","Poland","Real estate, gambling","Diversified"
"2133","Alexander Karp","$1.3 B","55","United States","Software firm","Technology"
"2133","Joe Kiani","$1.3 B","58","United States","Medical devices","Healthcare"
"2133","Seth Klarman","$1.3 B","65","United States","Investments","Finance & Investments"
"2133","Kagemasa Kozuki","$1.3 B","82","Japan","Video games","Technology"
"2133","Michael Krasny","$1.3 B","69","United States","Retail","Technology"
"2133","Eduard Kucera","$1.3 B","70","Czech Republic","Software","Technology"
"2133","Kristo Käärmann","$1.3 B","42","Estonia","Payments, banking","Finance & Investments"
"2133","Gary Lauder","$1.3 B","60","United States","Estée Lauder","Fashion & Retail"
"2133","Lee Hae-jin","$1.3 B","55","South Korea","Internet","Technology"
"2133","Art Levinson","$1.3 B","73","United States","Genentech, Apple","Diversified"
"2133","Li Denghai","$1.3 B","73","China","Seed production","Food & Beverage"
"2133","Fengluan Li","$1.3 B","61","China","Steel, diversified","Diversified"
"2133","Li Yongqing","$1.3 B","58","China","Petro Firbe","Manufacturing"
"2133","Li Zhigang","$1.3 B","46","China","Machinery","Manufacturing"
"2133","Liu Gexin & family","$1.3 B","71","China","Pharmaceuticals","Healthcare"
"2133","Itamar Locks & family","$1.3 B","68","Brazil","Agribusiness","Food & Beverage"
"2133","Lu Hongyan","$1.3 B","45","China","Online games","Media & Entertainment"
"2133","Lv Jianming","$1.3 B","58","Hong Kong","Medical equipment","Healthcare"
"2133","Blairo Maggi","$1.3 B","66","Brazil","Agribusiness","Food & Beverage"
"2133","Yasseen Mansour","$1.3 B","61","Egypt","Diversified","Diversified"
"2133","Charlwin Mao","$1.3 B","N/A","China","E-commerce","Fashion & Retail"
"2133","George Marcus","$1.3 B","81","United States","Real estate","Real Estate"
"2133","Yves-Loic Martin","$1.3 B","57","France","Laboratory services","Healthcare"
"2133","Carsten Maschmeyer","$1.3 B","63","Germany","Finance services","Finance & Investments"
"2133","Lillian Teh Li Ming","$1.3 B","N/A","Malaysia","Banking","Finance & Investments"
"2133","Martin Moller Nielsen","$1.3 B","58","Denmark","Aircraft leasing","Logistics"
"2133","Jahm Najafi","$1.3 B","60","United States","Investments","Finance & Investments"
"2133","Randal Nardone","$1.3 B","67","United States","Investments, energy","Finance & Investments"
"2133","Nguyen Dang Quang","$1.3 B","59","Vietnam","Consumer products, banking","Food & Beverage"
"2133","Kazuo Okada","$1.3 B","80","Japan","Casinos","Gambling & Casinos"
"2133","John Oyler","$1.3 B","55","United States","Biotech","Healthcare"
"2133","William Teh Lee Pang","$1.3 B","N/A","Malaysia","Banking","Finance & Investments"
"2133","George Pedersen & family","$1.3 B","87","United States","Defense contractor","Manufacturing"
"2133","Qu Miranda","$1.3 B","38","China","E-commerce","Fashion & Retail"
"2133","Jupally Rameshwar Rao","$1.3 B","67","India","Real estate","Real Estate"
"2133","G. M. Rao","$1.3 B","72","India","Infrastructure","Logistics"
"2133","P.V. Ramprasad Reddy","$1.3 B","65","India","Pharmaceuticals","Healthcare"
"2133","Satish Reddy","$1.3 B","55","India","Pharmaceuticals","Healthcare"
"2133","Fernando Roig","$1.3 B","75","Spain","Supermarkets","Fashion & Retail"
"2133","Igor Rotenberg","$1.3 B","49","Russia","Investments, real estate","Diversified"
"2133","Seifeddin Rustamov","$1.3 B","60","Russia","Chemicals","Manufacturing"
"2133","Deniz Sahenk","$1.3 B","77","Turkey","Diversified","Diversified"
"2133","Nobutada Saji","$1.3 B","77","Japan","Beverages","Food & Beverage"
"2133","Hajime Satomi","$1.3 B","81","Japan","Video games, pachinko","Gambling & Casinos"
"2133","James Scapa","$1.3 B","66","United States","Software","Technology"
"2133","Stephan Schnabel","$1.3 B","48","Germany","Chemicals","Manufacturing"
"2133","Devi Shetty","$1.3 B","70","India","Healthcare","Healthcare"
"2133","Albert Shigaboutdinov","$1.3 B","70","Russia","Refinery, chemicals","Diversified"
"2133","Diana Teh Li Shing","$1.3 B","N/A","Malaysia","Banking","Finance & Investments"
"2133","Denis Shtengelov","$1.3 B","50","Russia","Food, retail","Food & Beverage"
"2133","Song Fei","$1.3 B","56","China","Machinery","Manufacturing"
"2133","Hal Steinbrenner","$1.3 B","54","United States","Sports","Sports"
"2133","Jessica Steinbrenner","$1.3 B","59","United States","Sports","Sports"
"2133","Jennifer Steinbrenner Swindal","$1.3 B","63","United States","Sports","Sports"
"2133","Konstantin Strukov & family","$1.3 B","64","Russia","Gold, coal mining","Metals & Mining"
"2133","Rustem Sulteev","$1.3 B","69","Russia","Refinery, chemicals","Energy"
"2133","Clemens Toennies","$1.3 B","66","Germany","Meat processing","Food & Beverage"
"2133","Robert Toennies","$1.3 B","44","Germany","Meat processing","Food & Beverage"
"2133","John Van Lieshout","$1.3 B","77","Australia","Real estate","Real Estate"
"2133","Pongsak Viddayakorn","$1.3 B","89","Thailand","Hospitals","Healthcare"
"2133","Wang Jianguo","$1.3 B","63","China","Retail","Fashion & Retail"
"2133","Junjin Wang","$1.3 B","54","China","Airline","Service"
"2133","Wang Mingwang","$1.3 B","55","China","Electronics components","Manufacturing"
"2133","Wei Lidong & family","$1.3 B","47","China","Software","Technology"
"2133","Myron Wentz","$1.3 B","83","St. Kitts and Nevis","Health products","Fashion & Retail"
"2133","Wu Xiaoge","$1.3 B","50","China","Battery components","Manufacturing"
"2133","Wu Xushun & family","$1.3 B","74","China","Internet","Diversified"
"2133","Xiong Xiaochuan","$1.3 B","57","China","Medical devices","Healthcare"
"2133","Xu Shaochun","$1.3 B","60","China","Software","Technology"
"2133","Yan Jane & family","$1.3 B","53","China","Software","Technology"
"2133","Zeng Chaoyi","$1.3 B","54","China","Aluminum products","Manufacturing"
"2133","Peng Zhao","$1.3 B","52","China","Online recruitment","Service"
"2133","Zhao Tongtong","$1.3 B","56","Canada","Hotels","Service"
"2133","Kostyantin Zhevago","$1.3 B","49","Ukraine","Mining","Metals & Mining"
"2133","Zong Yanmin","$1.3 B","N/A","China","Semiconductor materials","Manufacturing"
"2259","Sanjay Agarwal","$1.2 B","52","India","Banking","Finance & Investments"
"2259","Hamad bin Jassim bin Jaber Al Thani","$1.2 B","63","Qatar","Investments","Finance & Investments"
"2259","Joao Alves de Queiroz Filho","$1.2 B","70","Brazil","Pharmaceuticals","Diversified"
"2259","Jose Maria Aristrain","$1.2 B","60","Spain","Steel","Metals & Mining"
"2259","Michael Arougheti","$1.2 B","50","United States","Finance","Finance & Investments"
"2259","Tope Awotona","$1.2 B","41","United States","Software","Technology"
"2259","Mehmet Aydinlar","$1.2 B","66","Turkey","Hospitals","Healthcare"
"2259","Danna Azrieli","$1.2 B","55","Israel","Real estate","Real Estate"
"2259","Naomi Azrieli","$1.2 B","57","Canada","Real estate","Real Estate"
"2259","Sharon Azrieli","$1.2 B","62","Canada","Real estate","Real Estate"
"2259","Bai Houshan","$1.2 B","59","China","Lithium battery","Energy"
"2259","Thomas Bailey","$1.2 B","86","United States","Money management","Finance & Investments"
"2259","Bernhard Braun-Luedicke","$1.2 B","46","Germany","Medical technology","Healthcare"
"2259","Eva Maria Braun-Luedicke","$1.2 B","36","Germany","Medical technology","Healthcare"
"2259","Friederike Braun-Luedicke","$1.2 B","39","Germany","Medical technology","Healthcare"
"2259","Jeffrey Cheah","$1.2 B","78","Malaysia","Property, healthcare","Real Estate"
"2259","Chen Xianbao & family","$1.2 B","63","China","Food","Food & Beverage"
"2259","Cheng Xianfeng","$1.2 B","54","China","Pharmaceuticals","Healthcare"
"2259","Chung Yong-jin","$1.2 B","54","South Korea","Retail","Fashion & Retail"
"2259","Darwin Deason","$1.2 B","82","United States","Software","Service"
"2259","Diego Della Valle","$1.2 B","69","Italy","Shoes","Fashion & Retail"
"2259","Ashwin Desai","$1.2 B","71","India","Specialty chemicals","Manufacturing"
"2259","Richard Desmond","$1.2 B","71","United Kingdom","Publishing","Media & Entertainment"
"2259","Ding Shui Po","$1.2 B","52","China","Sneakers, sportswear","Fashion & Retail"
"2259","Sefik Yilmaz Dizdar","$1.2 B","85","Turkey","Fashion retail","Fashion & Retail"
"2259","Mathias Doepfner","$1.2 B","60","Germany","Media","Media & Entertainment"
"2259","Farhad Ebrahimi","$1.2 B","84","United States","Solar panels","Manufacturing"
"2259","Jose Roberto Ermirio de Moraes","$1.2 B","65","Brazil","Diversified","Diversified"
"2259","Jose Ermirio de Moraes Neto","$1.2 B","70","Brazil","Diversified","Diversified"
"2259","Fang Hongbo","$1.2 B","56","China","Home appliances","Manufacturing"
"2259","David Feffer","$1.2 B","66","Brazil","Pulp and paper","Manufacturing"
"2259","Zsolt Felcsuti","$1.2 B","51","Hungary","Manufacturing","Manufacturing"
"2259","Ben Francis","$1.2 B","30","United Kingdom","Fitness clothing","Fashion & Retail"
"2259","Gary Friedman","$1.2 B","65","United States","Furniture retail","Fashion & Retail"
"2259","Dan Gertler","$1.2 B","49","Israel","Mining","Metals & Mining"
"2259","Balkrishan Goenka","$1.2 B","56","India","Textiles","Manufacturing"
"2259","Lawrence Golub","$1.2 B","63","United States","Private equity","Finance & Investments"
"2259","Saroj Rani Gupta","$1.2 B","72","India","Steel tubes","Manufacturing"
"2259","Anthony Hall","$1.2 B","67","Australia","Technology","Technology"
"2259","Fahed Hariri","$1.2 B","42","Lebanon","Construction, investments","Construction & Engineering"
"2259","Richard Hayne","$1.2 B","75","United States","Urban Outfitters","Fashion & Retail"
"2259","Michael Heine","$1.2 B","73","Australia","Financial services","Finance & Investments"
"2259","Orion Hindawi","$1.2 B","43","United States","Software","Technology"
"2259","Lawrence Ho","$1.2 B","46","Hong Kong","Casinos","Gambling & Casinos"
"2259","Huang Guanlin","$1.2 B","58","China","Textiles, apparel","Fashion & Retail"
"2259","Sam Hupert","$1.2 B","68","Australia","Technology","Technology"
"2259","Mohammed Ibrahim","$1.2 B","76","United Kingdom","Communications","Telecom"
"2259","Shirley Kao","$1.2 B","66","Taiwan","Food & beverage retailing","Food & Beverage"
"2259","David Kaplan","$1.2 B","55","United States","Finance","Finance & Investments"
"2259","Kim Kardashian","$1.2 B","42","United States","Shapewear, cosmetics, reality TV","Fashion & Retail"
"2259","Ke Guihua","$1.2 B","57","China","Auto parts","Manufacturing"
"2259","Ke Yunfeng & family","$1.2 B","56","China","Retailing","Healthcare"
"2259","Alexander Klyachin","$1.2 B","55","Russia","Real estate","Real Estate"
"2259","Christine Knauf","$1.2 B","N/A","Germany","Building materials","Manufacturing"
"2259","Karl Knauf","$1.2 B","N/A","Germany","Building materials","Manufacturing"
"2259","Suresh Krishna","$1.2 B","86","India","Auto parts","Automotive"
"2259","Guy Laliberté","$1.2 B","63","Canada","Cirque du Soleil","Media & Entertainment"
"2259","Lee Su-jin","$1.2 B","45","South Korea","Hospitality","Technology"
"2259","Li Guoqing","$1.2 B","53","China","Petro Fibre","Manufacturing"
"2259","Li Li","$1.2 B","59","China","Pharmaceuticals","Healthcare"
"2259","Li Ruiqiang","$1.2 B","43","China","Medical services","Healthcare"
"2259","Zhen Li & family","$1.2 B","59","China","Lithium batteries","Manufacturing"
"2259","Guangwei Liang","$1.2 B","59","China","Conglomerate","Manufacturing"
"2259","Liu Ming Hui","$1.2 B","60","China","Natural gas distribution","Energy"
"2259","Frederic Luddy","$1.2 B","68","United States","Software","Technology"
"2259","Cargill MacMillan, III.","$1.2 B","63","United States","Cargill","Food & Beverage"
"2259","John MacMillan","$1.2 B","73","United States","Cargill","Food & Beverage"
"2259","Martha MacMillan","$1.2 B","71","United States","Cargill","Food & Beverage"
"2259","William MacMillan","$1.2 B","68","United States","Cargill","Food & Beverage"
"2259","Keshub Mahindra","$1.2 B","99","India","Diversified","Diversified"
"2259","Mao Zhongwu","$1.2 B","60","China","Manufacturing","Manufacturing"
"2259","Jorge Mas","$1.2 B","60","United States","Construction","Construction & Engineering"
"2259","Lorinc Meszaros","$1.2 B","57","Hungary","Diversified","Diversified"
"2259","Jeffrey Michael & family","$1.2 B","66","United States","Data management","Technology"
"2259","Alan Miller & family","$1.2 B","85","United States","Healthcare services","Healthcare"
"2259","Ulrich Mommert & family","$1.2 B","82","Austria","Lighting","Automotive"
"2259","Neide Helena de Moraes","$1.2 B","68","Brazil","Diversified","Diversified"
"2259","Scott Nuttall","$1.2 B","50","United States","Private equity","Finance & Investments"
"2259","Kailashchandra Nuwal","$1.2 B","65","India","Industrial explosives","Manufacturing"
"2259","Axel Oberwelland & family","$1.2 B","56","Germany","Candy","Food & Beverage"
"2259","Jonathan Oringer","$1.2 B","48","United States","Stock photos","Technology"
"2259","Vitaly Orlov","$1.2 B","58","Russia","Fisheries","Food & Beverage"
"2259","Jose Isaac Peres & family","$1.2 B","82","Brazil","Shopping malls","Real Estate"
"2259","Markus Persson","$1.2 B","43","Sweden","Computer games","Media & Entertainment"
"2259","Mark Pincus","$1.2 B","57","United States","Online games","Technology"
"2259","Murdaya Poo","$1.2 B","82","Indonesia","Diversified","Diversified"
"2259","Forrest Preston","$1.2 B","90","United States","Health care","Healthcare"
"2259","Qian Ying","$1.2 B","57","China","Pig breeding","Food & Beverage"
"2259","Jimmy Rane","$1.2 B","76","United States","Lumber","Manufacturing"
"2259","Andrei Rappoport","$1.2 B","59","Russia","Investments","Finance & Investments"
"2259","Hugo Ribeiro & family","$1.2 B","N/A","Brazil","Agribusiness","Food & Beverage"
"2259","Bennett Rosenthal","$1.2 B","59","United States","Finance","Finance & Investments"
"2259","Atul Ruia","$1.2 B","52","India","Real estate","Real Estate"
"2259","Thomas Sandell","$1.2 B","62","Sweden","Hedge funds","Finance & Investments"
"2259","Francesco Saputo","$1.2 B","N/A","Canada","Cheese","Food & Beverage"
"2259","Dhruv Sawhney","$1.2 B","78","India","Engineering, sugar","Construction & Engineering"
"2259","Gerald Schwartz","$1.2 B","81","Canada","Finance","Finance & Investments"
"2259","Antonio Luiz Seabra","$1.2 B","80","Brazil","Cosmetics","Fashion & Retail"
"2259","Eric Ya Shen","$1.2 B","52","China","Online apparel retail","Technology"
"2259","Sytse 'Sid' Sijbrandij","$1.2 B","43","Netherlands","Software","Technology"
"2259","Alexander Sixt","$1.2 B","43","Germany","Car rentals","Automotive"
"2259","Konstantin Sixt","$1.2 B","40","Germany","Car rentals","Automotive"
"2259","Edwin Soeryadjaya","$1.2 B","73","Indonesia","Coal, investments","Energy"
"2259","Abhay Soi","$1.2 B","49","India","Healthcare","Healthcare"
"2259","Mike Speiser","$1.2 B","52","United States","Software","Technology"
"2259","Marco Squinzi","$1.2 B","51","Italy","Chemical products","Construction & Engineering"
"2259","Veronica Squinzi","$1.2 B","51","Italy","Chemical products","Construction & Engineering"
"2259","Michael Steinhardt","$1.2 B","82","United States","Hedge funds","Finance & Investments"
"2259","Ion Stoica","$1.2 B","58","Romania","Data analytics","Technology"
"2259","Eddy Sugianto","$1.2 B","77","Indonesia","Coal","Metals & Mining"
"2259","Luc Tack","$1.2 B","61","Belgium","Textile, chemicals","Manufacturing"
"2259","Tony Tan Caktiong","$1.2 B","70","Philippines","Food","Food & Beverage"
"2259","Xiuguo Tang","$1.2 B","59","China","Manufacturing","Manufacturing"
"2259","Sam Tarascio","$1.2 B","78","Australia","Real estate","Real Estate"
"2259","Lina Tombolato","$1.2 B","75","Italy","Financial services","Finance & Investments"
"2259","Ching Bor Tung","$1.2 B","60","China","Manufacturing","Manufacturing"
"2259","Joop van den Ende","$1.2 B","81","Netherlands","TV shows","Media & Entertainment"
"2259","Ruben Vardanyan & family","$1.2 B","54","Armenia","Investment banking","Finance & Investments"
